user_000949,36742,user_000949,f,"",United States,"May 30, 2005"
user_000791,32012,user_000791,m,"",United Kingdom,"Sep 22, 2004"
user_000544,31645,user_000544,f,"",United States,"Jul 17, 2006"
user_000861,30899,user_000861,m,"",United States,"Sep 10, 2005"
user_000800,28363,user_000800,"","",Russian Federation,"Jul 17, 2005"
user_000691,26468,user_000691,m,"",United States,"Jun 30, 2006"
user_000274,24978,user_000274,m,"",Mexico,"Feb 12, 2006"
user_000155,24243,user_000155,m,"",Venezuela,"Jul 11, 2006"
user_000233,23551,user_000233,m,25,United States,"Jul 20, 2005"
user_000349,22760,user_000349,m,23,Brazil,"Jul 1, 2005"
user_000458,22465,user_000458,f,"",Argentina,"Feb 1, 2006"
user_000427,22228,user_000427,m,"",United States,"Jan 4, 2004"
user_000529,21657,user_000529,m,"",United States,"May 5, 2006"
user_000451,19335,user_000451,m,"",United Kingdom,"Aug 30, 2004"
user_000033,19272,user_000033,f,20,Poland,"Dec 23, 2005"
user_000702,19151,user_000702,m,"",Poland,"Dec 2, 2006"
user_000709,18748,user_000709,m,"",Canada,"Oct 2, 2004"
user_000543,18424,user_000543,m,"",United Kingdom,"Oct 28, 2004"
user_000833,18356,user_000833,f,"",United States,"Feb 20, 2005"
user_000298,18284,user_000298,m,28,Argentina,"Jan 26, 2005"
user_000054,18168,user_000054,m,28,Brazil,"Nov 30, 2004"
user_000199,17941,user_000199,m,22,United States,"Mar 13, 2006"
user_000348,17731,user_000348,m,24,Finland,"Jan 4, 2005"
user_000685,17082,user_000685,m,"",Norway,"Oct 13, 2004"
user_000793,17074,user_000793,m,"",China,"Apr 26, 2004"
user_000357,16253,user_000357,f,"",United States,"Aug 17, 2005"
user_000612,16162,user_000612,m,"",Finland,"Mar 25, 2005"
user_000577,15883,user_000577,m,"",Estonia,"Mar 11, 2006"
user_000313,15621,user_000313,m,33,United States,"Jul 30, 2005"
user_000692,15435,user_000692,f,"",Romania,"Jul 6, 2006"
user_000774,15404,user_000774,m,"",United States,"Aug 25, 2005"
user_000431,15338,user_000431,m,"",Poland,"Aug 28, 2006"
user_000012,15130,user_000012,f,28,United States,"Mar 30, 2005"
user_000675,15082,user_000675,m,"",Poland,"Jul 20, 2005"
user_000147,15033,user_000147,m,"",United States,"Dec 29, 2005"
user_000141,14842,user_000141,f,21,Trinidad and Tobago,"Dec 19, 2005"
user_000068,14841,user_000068,"","","","Oct 16, 2009"
user_000074,14834,user_000074,m,35,Turkey,"Jun 9, 2005"
user_000610,14398,user_000610,m,"",Bulgaria,"Jan 22, 2006"
user_000783,14393,user_000783,m,"",United States,"Feb 13, 2006"
user_000149,14226,user_000149,m,26,United States,"Feb 2, 2006"
user_000097,14217,user_000097,m,"",United Kingdom,"Apr 6, 2005"
user_000021,14088,user_000021,m,27,Canada,"Mar 16, 2005"
user_000654,13951,user_000654,m,"",Canada,"Feb 22, 2006"
user_000255,13898,user_000255,m,36,United States,"Dec 12, 2005"
user_000680,13895,user_000680,"","","","May 23, 2005"
user_000273,13609,user_000273,f,19,United States,"Mar 23, 2005"
user_000684,13411,user_000684,m,"",Canada,"Jun 11, 2005"
