user_000027,26,6cbbb97d-2180-4ba9-97a8-6158b6332bb4,656127,Viva La Vida,0.25520664
user_000027,26,353c7383-df10-40a4-93df-05eb5bb8e778,208357,The Sweet Escape,0.26429433
user_000027,26,a23f107f-36cd-4a4c-b8d5-6dd73b9148c7,65969,Wake Me Up When September Ends,0.25568017
user_000027,26,0ba72f0d-70ae-4655-94d9-c1069b5abcfb,298276,Boulevard Of Broken Dreams,0.259536
user_000027,26,d621a12a-d1a2-43a3-a401-fcab6e92835b,119857,American Idiot,0.26051882
user_000027,26,e0f5aab9-c225-427a-b5c3-c27ac8ed32fb,249702,I Kissed A Girl,0.27248538
user_000027,26,d1156692-0c93-4c38-8776-d1360956583d,216120,"This Ain'T A Scene, It'S An Arms Race",0.25980774
user_000027,26,352dd518-23cd-4c5a-9551-ba02097b177b,592100,Numb,0.25983843
user_000027,26,ba4bcf45-fcdf-4ff7-a19e-be3fdffae337,22930,Violet Hill,0.25518894
user_000027,26,a5e848c5-7155-4dfc-931d-df4b01f3a989,353990,Don'T Stop The Music,0.25377205
user_000030,29,722b0851-8793-4df7-9aff-835cd3770a8c,65085,All My Friends,0.7712687
user_000030,29,4679d415-5bab-4bc5-bf08-81c3f32784ff,54448,My Girls,0.76514184
user_000030,29,c835a61b-dcdb-41be-82d8-e52b4a1c8d0b,373799,White Winter Hymnal,0.73099214
user_000030,29,71329c7e-7b8e-4fc9-b750-0e387a10a521,747246,Transmission,0.7324158
user_000030,29,f962828d-b970-4d0c-9d4b-dcac8f064a89,307624,Disorder,0.7442012
user_000030,29,daa40715-0aed-4db8-b398-db7677a8cba3,518324,Tonto,0.7256486
user_000030,29,8d8f0e7b-bd40-4fab-b277-557dca2720eb,670948,North American Scum,0.72528267
user_000030,29,94dead8b-ce5f-4cf2-90d0-e9426e4d88bb,863392,Feel The Love,0.7321965
user_000030,29,80bfd38b-3048-47a5-a929-9372ab1f227b,911111,Atlas,0.7769912
user_000030,29,1ebb7ef5-3e93-400b-bce1-b1a75608401b,29670,A Means To An End,0.7526969
user_000481,474,9e2ad5bc-c6f9-40d2-a36f-3122ee2072a3,849130,Karma Police,0.1601522
user_000481,474,4a1a16d0-3bb2-46bb-83f6-3d7f75de054b,813875,Don'T Panic,0.16621892
user_000481,474,729cf505-94eb-4fbe-bc76-cbae44cff091,151868,Yellow,0.16726515
user_000481,474,d836830d-fb62-41b1-bc2a-fc899d1c99cc,282856,New Slang,0.15626809
