115209,Radiohead
100338,The Beatles
84421,Nine Inch Nails
63346,Muse
62251,Coldplay
59910,Depeche Mode
58561,Pink Floyd
58083,Death Cab For Cutie
53518,Placebo
50278,Elliott Smith
50207,The Cure
49471,Britney Spears
49102,David Bowie
48457,The Killers
46864,Kanye West
46078,Sigur Rós
45687,The Smiths
45593,Red Hot Chili Peppers
44156,Metallica
43027,Interpol
42321,Björk
40642,Bloc Party
39890,Black Rebel Motorcycle Club
39842,Arcade Fire
39791,Modest Mouse
38878,U2
38605,The Knife
38033,Oasis
37353,Daft Punk
36813,Air
36018,The Smashing Pumpkins
35721,Tool
35452,Belle And Sebastian
35242,The White Stripes
35180,Arctic Monkeys
34860,Pixies
34623,Madonna
34416,Sufjan Stevens
34104,Nirvana
33884,System Of A Down
33141,Franz Ferdinand
32809,Sonic Youth
32638,Joy Division
32441,Tori Amos
32374,The Shins
32301,The Doors
32128,Bright Eyes
32095,Snow Patrol
32074,Massive Attack
32051,The Rolling Stones
31820,Beck
31411,Johnny Cash
31003,Pearl Jam
30827,Boards Of Canada
30762,Queen
30491,Kings Of Leon
30009,The Strokes
29753,Queens Of The Stone Age
29522,Yeah Yeah Yeahs
28944,Mando Diao
28778,Ac/Dc
28199,Pj Harvey
27535,Bob Dylan
27030,The Clash
26944,Metric
26866,Portishead
26801,Broken Social Scene
26723,In Flames
26606,The Postal Service
26371,R.E.M.
26245,Foo Fighters
26188,Blur
25917,Incubus
25816,Chemistry
25608,Moby
25577,Guns N' Roses
24247,Mogwai
24138,Gorillaz
23840,The 69 Eyes
23793,Soilwork
23415,Michael Jackson
23306,Cat Power
23204,Röyksopp
23186,Ladytron
23003,Regina Spektor
22979,Iron & Wine
22933,Wilco
22335,Keane
22332,Feist
22171,Patrick Wolf
21917,The Decemberists
21901,Marilyn Manson
21794,Travis
21504,Ramones
21441,The Prodigy
21236,Morrissey
21231,Weezer
20972,Garbage
20868,A Perfect Circle
20794,Evanescence
