"None", "1113056"
"Poland", "974331"
"Malta", "6786"
"New Zealand", "52973"
"Australia", "282428"
"India", "20208"
"Venezuela", "173740"
"Ireland", "134767"
"Romania", "191588"
"Germany", "543944"
"Algeria", "19175"
"Belarus", "20824"
"Trinidad and Tobago", "110129"
"Japan", "37548"
"Antarctica", "7159"
"Singapore", "15742"
"Northern Mariana Islands", "30905"
"Austria", "62134"
"Croatia", "57006"
"Cote D'Ivoire", "13743"
"Canada", "842514"
"Thailand", "23744"
"Macedonia", "8635"
"United States Minor Outlying Islands", "36712"
"Slovenia", "26775"
"Sweden", "446313"
"Mexico", "314092"
"Bulgaria", "135940"
"Italy", "362323"
"Lithuania", "42158"
"Tunisia", "1486"
"United Kingdom", "2389085"
"United States", "5023398"
"Switzerland", "74189"
"Congo, the Democratic Republic of the", "9213"
"Israel", "14806"
"Finland", "826280"
"Portugal", "130421"
"Russian Federation", "498560"
"Iceland", "25963"
"Brazil", "479269"
"France", "115078"
"Norway", "606405"
"Spain", "250225"
"Belgium", "127541"
"Estonia", "167507"
"Czech Republic", "139220"
"British Indian Ocean Territory", "22345"
"Korea, Democratic People's Republic of", "2246"
"Argentina", "360068"
"China", "102875"
"Armenia", "21372"
"Nicaragua", "1676"
"Hungary", "61489"
"Chile", "193899"
"Slovakia", "103637"
"Netherlands", "366467"
"Bosnia and Herzegovina", "2699"
"Peru", "130064"
"Netherlands Antilles", "6"
"Colombia", "49202"
"Zimbabwe", "17766"
"Turkey", "609155"
"Serbia", "40513"
"Morocco", "20842"
"Latvia", "41252"
"Greece", "17257"
